DENOMINAZIONE INTERMEDIARIO,INDIRIZZO,snd_location,snd_location_distance_km
BANCA POPOLARE DI SONDRIO SOCIETA' PER AZIONI,VIA CELORIA GIOVANNI 11,"Via Camillo Golgi 60, Milano, Italia, 20133",0.6
"UNICREDIT, SOCIETA' PER AZIONI","VIA PONZIO, 83","Via Camillo Golgi 60, Milano, Italia, 20133",0.6
BANCO DI DESIO E DELLA BRIANZA - SOCIETA' PER AZIONI,"VIA GIAN BATTISTA CASSINIS, 15","Via Camillo Golgi 60, Milano, Italia, 20133",0.8
INTESA SANPAOLO S.P.A.,"VIA CARPI, 4","Via Camillo Golgi 60, Milano, Italia, 20133",0.8
BANCA NAZIONALE DEL LAVORO S.P.A. (IN FORMA CONTRATTA BNL S.P.A.),"VIA SACCARDO, 30  ANG.  VIA CONSOLE FLAMINIO","Via Camillo Golgi 60, Milano, Italia, 20133",0.8
BANCO BPM SOCIETA' PER AZIONI,"VIA RONCHI, 2 ANG. PIAZZA MONTE TITANO","Via Camillo Golgi 60, Milano, Italia, 20133",1.0
BINCKBANK N.V.,"VIA G. VENTURA, 5","Via Camillo Golgi 60, Milano, Italia, 20133",1.1
BANCA MONTE DEI PASCHI DI SIENA S.P.A.,"VIA TEODOSIO, 55","Via Camillo Golgi 60, Milano, Italia, 20133",1.1
COFIDIS SA,VIA GIOVANNI ANTONIO AMADEO 59,"Via Camillo Golgi 60, Milano, Italia, 20133",1.4
BANCA DI CREDITO COOPERATIVO DI MILANO - SOCIETA' COOPERATIVA,"VIA SANGALLO, 19","Via Camillo Golgi 60, Milano, Italia, 20133",1.4
CRÉDIT AGRICOLE ITALIA S.P.A.,"PIAZZA UDINE, 3","Via Camillo Golgi 60, Milano, Italia, 20133",1.5
BPER BANCA S.P.A.,"VIA PITTERI, 64/A","Via Camillo Golgi 60, Milano, Italia, 20133",1.6
DEUTSCHE BANK S.P.A.,"VIA PALESTRINA, 2","Via Camillo Golgi 60, Milano, Italia, 20133",1.9
BANCA SELLA - S.P.A.,"PIAZZALE LORETO,1 ANGOLO VIA A. DORIA","Via Camillo Golgi 60, Milano, Italia, 20133",1.9
IBL ISTITUTO BANCARIO DEL LAVORO S.P.A. (IN FORMA ABBREVIATA IBL BANCA),PIAZZALE LORETO 19N01,"Via Camillo Golgi 60, Milano, Italia, 20133",1.9
COMPASS BANCA SPA,"VIA G. B. MORGAGNI, 39","Via Camillo Golgi 60, Milano, Italia, 20133",1.9
EXTRABANCA S.P.A.,"VIA PERGOLESI, 2/A","Via Camillo Golgi 60, Milano, Italia, 20133",2.0
BANCA CAPASSO ANTONIO - S.P.A.,VIA ANDREA COSTA N. 1,"Via Camillo Golgi 60, Milano, Italia, 20133",2.0
CREDITO EMILIANO S.P.A.,"VIA ROSOLINO PILO, 19/B","Via Camillo Golgi 60, Milano, Italia, 20133",2.1
ICCREA BANCA S.P.A. - ISTITUTO CENTRALE DEL CREDITO COOPERATIVO (IN FORMA ABBREVIATA: ICCREA BANCA S.P.A.),"VIA ESTERLE, 11","Via Camillo Golgi 60, Milano, Italia, 20133",2.1
BCC LEASING S.P.A.,"VIA CARLO ESTERLE, 11","Via Camillo Golgi 60, Milano, Italia, 20133",2.1
BANCA DI CREDITO COOPERATIVO DI CARATE BRIANZA - SOCIETA' COOPERATIVA,"VIALE MONZA, 14","Via Camillo Golgi 60, Milano, Italia, 20133",2.2
BANCA POPOLARE ETICA - SOCIETA' COOPERATIVA PER AZIONI (IN FORMA ABBREVIATA BANCA ETICA O BPE),"VIA SCARLATTI, 31","Via Camillo Golgi 60, Milano, Italia, 20133",2.5
STATE STREET BANK INTERNATIONAL GMBH SUCCURSALE ITALIA,VIA FERRANTE APORTI 10,"Via Camillo Golgi 60, Milano, Italia, 20133",2.5
CHEBANCA! S.P.A.,"VIA SPALLANZANI, 15","Via Camillo Golgi 60, Milano, Italia, 20133",2.5
