DENOMINAZIONE INTERMEDIARIO,INDIRIZZO,fst_location,fst_location_distance_km
BANCA POPOLARE DI SONDRIO SOCIETA' PER AZIONI,PIAZZA DELL'ATENEO NUOVO 1 EDIFICIO U 6,"Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",0.0
DE LAGE LANDEN INTERNATIONAL B.V. (DLL),"VIALE DELL'INNOVAZIONE, 3","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",0.7
DEUTSCHE BANK MUTUI S.P.A.,"PIAZZA DEL CALENDARIO, 1","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",0.9
DEUTSCHE BANK S.P.A.,"PIAZZA DEL CALENDARIO, 1","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",0.9
ING BANK N.V.,"VIALE FULVIO TESTI, 250","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",0.9
BANCA MONTE DEI PASCHI DI SIENA S.P.A.,"VIALE FULVIO TESTI, 90","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",1.2
BANCO BPM SOCIETA' PER AZIONI,"VIA PIANELL, 52","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",1.7
INTESA SANPAOLO S.P.A.,"VIALE FULVIO TESTI  ANG.  VIALE CA' GRANDA, 2","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",2.0
"UNICREDIT, SOCIETA' PER AZIONI","VIA LUIGI ORNATO, 35","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",2.1
BPER BANCA S.P.A.,"VIA EMILIO DE MARCHI, 4","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",2.5
BANCA IFIS S.P.A. (OVVERO IFIS BANCA S.P.A. O IN FORMA ABBREVIATA IFIS S.P.A.),VIALE MONZA 259,"Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",2.7
FINDOMESTIC BANCA SPA,"VIA BOLZANO, 1 ANGOLO VIALE MONZA","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",3.3
BANCA NAZIONALE DEL LAVORO S.P.A. (IN FORMA CONTRATTA BNL S.P.A.),"VIALE MONZA, 62  ANG.  VIA ROGGIA SCAGNA","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",3.5
"BANQUE CHAABI DU MAROC - IN ABBREVIATO, B.C.D.M.","VIALE NAZARIO SAURO, 14","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",3.5
ATTIJARIWAFA BANK EUROPE SEDE SECONDARIA ITALIANA,"VIA ABBADESSE, 44","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",3.5
BANCA DI CREDITO COOPERATIVO DI MILANO - SOCIETA' COOPERATIVA,"VIA TONALE, 26 ANG. VIA MELCHIORRE GIOIA","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",3.6
SOCIETE' GENERALE SECURITIES SERVICES S.P.A. (IN FORMA ABBREVIATA SGSS S.P.A.),"VIA BENIGNO CRESPI, 19/A MAC 2","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",3.6
WISE DIALOG BANK S.P.A.,"VIA IPPOLITO ROSELLINI, 16","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",3.7
CRÉDIT AGRICOLE ITALIA S.P.A.,"VIA ARESE, 7","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",3.7
CHEBANCA! S.P.A.,"VIA OLDOFREDI, 2 ANG. VIA POLA","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",3.9
STATE STREET BANK INTERNATIONAL GMBH SUCCURSALE ITALIA,VIA FERRANTE APORTI 10,"Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",3.9
SOLARIS SE,VIA POLA 11,"Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",3.9
WESTERN UNION INTERNATIONAL BANK GMBH,VIA FILIPPO SASSETTI 32,"Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",4.0
BANCA SELLA - S.P.A.,VIA SASSETTI 32/2,"Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",4.0
N26 BANK AG,"VIA FILIPPO SASSETTI, 32","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",4.0
BANCO DI DESIO E DELLA BRIANZA - SOCIETA' PER AZIONI,"VIA TRAU', 3","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",4.0
CREDITO EMILIANO S.P.A.,"VIALE STELVIO, 41","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",4.0
BANCA DI CREDITO COOPERATIVO DI CARATE BRIANZA - SOCIETA' COOPERATIVA,"VIALE MONZA, 14","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",4.0
IBL ISTITUTO BANCARIO DEL LAVORO S.P.A. (IN FORMA ABBREVIATA IBL BANCA),PIAZZALE LORETO 19N01,"Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",4.2
BANCA CAPASSO ANTONIO - S.P.A.,VIA ANDREA COSTA N. 1,"Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",4.3
BANCO SANTANDER S.A.,"VIA GAETANO DE CASTILLIA, 23","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",4.4
BANCA POPOLARE ETICA - SOCIETA' COOPERATIVA PER AZIONI (IN FORMA ABBREVIATA BANCA ETICA O BPE),"VIA SCARLATTI, 31","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",4.4
BCC LEASING S.P.A.,"VIA CARLO ESTERLE, 11","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",4.4
ICCREA BANCA S.P.A. - ISTITUTO CENTRALE DEL CREDITO COOPERATIVO (IN FORMA ABBREVIATA: ICCREA BANCA S.P.A.),"VIA ESTERLE, 11","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",4.4
RBC INVESTOR SERVICES BANK S.A.,"VIA VITTOR PISANI, 26","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",4.4
EXTRABANCA S.P.A.,"VIA PERGOLESI, 2/A","Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",4.6
BUNQ B.V.,VIA PASTRENGO 14,"Piazza dell'Ateneo Nuovo 1, Milano, Italia, 20126",4.6
