bank,user_name,title,date,review,home_banking,security,support,promotions,services,local_presence
qonto,Alessio,Qonto per la mia attività,21 Giugno 2023,"Da libero professionista, Qonto è stata una piacevole scoperta. Il conto è molto più conveniente rispetto a quello delle banche “tradizionali”, ricco di servizi per la contabilità e c’è anche la fatturazione elettronica. C’è anche la carta Mastercard per i pagamenti. Devo dire che non manca proprio nulla. Anche i costi sono ottimi. Per un professionista che gestisce tutto in autonomia, il piano base è economico ed ha tutto quello che serve. Davvero ottimo. Anche l’assistenza si è dimostrata un passo avanti rispetto a quella che si riceve spesso con le banche più note.",100,80,80,100,100,60
trade-republic,Fulvio,Conto deposito trade republic,21 Giugno 2023,"Ho iniziato ad utilizzare Trade Republic per piccoli investimenti, in quanto la piattaforma è facile da usare ed ha commissioni ridotte. Gli interessi garantiti sulle somme non vincolate sono un bonus davvero ottimo: senza alcun investimento è possibile registrare un guadagno netto grazie ad un tasso del 2%. In più, gli interessi vengono accreditati sul conto ogni mese. Davvero comodo, anche perché non ci sono vincoli ed è possibile prelevare il denaro o investirlo in qualsiasi momento.",80,100,80,80,80,100
santander,Mauro,Finanziamento,21 Marzo 2023,"Buonasera
Ho chiesto un finanziamento di 2500 su 7500 euro per l acquisto di una moto e non mi è stato concesso. Non ho capito come mai dato che non sono né cattivo pagatore né altro. Nessuno mi ha contattato per spiegarmi il motivo.
Non si trattano così potenziali clienti",40,20,20,20,20,20
santander,Laritza Iznaga,Deluso,24 Settembre 2022,Buongiorno come prima esperienza con la Banca Santander stata molto deludente visto che per causa di ritardo di due rateizzazione non pagate la giornata indicata però pagate nei giorni sucesivo tutte le rate pagate dall’inizio alla fine . Comunque stata la mia esperienza come cliente . Sinceramente mi trovo molto bene invece con Findomestic e Compass . Infatti mi sono pentito che ho fatto un finanziamento per la macchina tramite voi mi dispiace dirlo . Ah dimenticavo non per discriminare però non si riesce mai a parlare con un operatore italiano . Tutte sono della Romania e a volte non capiscono il problema . Nos tant’è tutto vi ringrazio per la fiducia che mi avete dato all’inizio vi sono gratta per questo . Però oggi tanto mettetevi al posto del cliente se in una data qualunqu,20,20,20,20,20,20
tinaba,Giacomo,Conto deposito con Tinaba,21 Giugno 2023,"Investire nel conto deposito di Tinaba è stata una scelta conveniente: interessi al 4% (ma c’è anche la possibilità di scegliere un tasso legato all’inflazione che pure è un’opzione interessante), nessuna imposta di bollo e la possibilità di gestire tutto dall’app di Tinaba. Già usavo Tinaba come prepagata e, quindi, sapevo che si trattava di un istituto affidabile che offre tutto quello di cui si ha bisogno per gestire le spese quotidiane. Poter contare anche su di un conto deposito così vantaggioso ha reso tutto ancora più comodo.",100,80,80,100,80,60
tinaba,Mauro Sartore,precisazione,18 Febbraio 2022,"Solo per specificare che contrariamente a quanto indicato nella sezione ""SIM TELEFONICHE SENZA CANONE MENSILE"", l'offerta PosteMobile Super Ricarica prevede solo un Giga (non 4) di traffico mensile a 2 euro al mese.",100,100,100,100,100,100
tinaba,Luca,Il conto e la carta che cercavo. Eccezionale!,23 Dicembre 2021,"Ho aperto Tinaba da qualche mese e penso che attualmente sia il miglior conto corrente online a zero spese. Conto senza alcun canone e con la comodità di ricevere a casa un carta prepagata Mastercard totalmente gratuita. È possibile ricaricare istantaneamente la carta direttamente dal conto decidendo l’importo in base alla propria esigenza ed evitando di avere troppi soldi nella carta esponendosi a truffe durante acquisti online. Ho aperto il conto in circa 15 minuti comodamente da casa, tutto molto semplice e chiaro. In meno di 24 ore il conto era già attivo, mentre la carta mi è arrivata a casa dopo 3 giorni. Ulteriore nota positiva è la possibilità di trovarsi accreditati nel conto 20 euro se una persona/amico si registra con il nostro codice di invito, in cambio la persona/ami",100,100,100,80,80,20
american-express,Daniele,La uso tutti i mesi,01 Dicembre 2019,Molto facile da usare con app che ti indica i locali aderenti unica cosa negativa che non tutti gli esercizi l’accettano,100,100,100,100,60,40
illimity,Andrea,Traverso,04 Gennaio 2020,"Assolutamente non ci siamo, iniziate le pratiche per apertura conto il 17 Dicembre, tutta la documentazione richiesta inviata nello stesso giorno e attivazione ferma alla verifica della documentazione dal 18 di dicembre. Siamo al 4 gennaio e nulla si muove, mentre l'assistenza risponde semplicemente che dato il periodo bisogna attendere e avere pazienza. Va bene il periodo natalizio, ma un'altra attivazione dello stesso genere in giorni successivi è avvenuta in due ore. Affidare lo stipendio e la gestione finanziaria a gente del genere? Bisogna pensarci bene. Per adesso una stella a tutto, visti gli inizi.",20,20,20,20,20,20
illimity,Alberto,C/c facile da aprire,25 Novembre 2019,"Conto corrente online facile da utilizzare ed intuitivo. Aprendo un nuovo conto su illimity, ed inserendo il codice promo ALBDEI96, se si effettua un versamento minimo di 250,00 € entro 30 giorni, riceverete 25,00€ sul conto da spendere senza vincoli. Il mio conto è stato attivato il giorno stesso in cui ho richiesto l'apertura (08/11/19). Funziona bene anche tramite browser Chrome da pc. La carta di credito viene spedita via raccomandata e il pin si ottiene tramite app o sito.",100,100,80,100,100,60
